pretrained,finetuned_high,finetuned_low
-2.603815,-0.2508034,-0.29282185
-2.5965798,-0.25308445,-0.28392637
-2.5981574,-0.25583428,-0.28727916
-2.5969844,-0.23393577,-0.2644297
-2.610779,-0.25208363,-0.27677125
-2.6050487,-0.22625746,-0.2711118
-2.6121986,-0.2623784,-0.28002223
-2.6124074,-0.2686497,-0.28378412
-2.605457,-0.27953747,-0.29375985
-2.6070487,-0.24681546,-0.28331405
-2.601224,-0.22968015,-0.27424553
-2.6029797,-0.18711184,-0.22756867
-2.598219,-0.2117373,-0.25142115
-2.5992935,-0.26090467,-0.27777624
-2.6007574,-0.26623133,-0.29653558
-2.5977874,-0.23760657,-0.26576978
-2.597532,-0.24381912,-0.29062617
-2.6142695,-0.2375956,-0.2770258
-2.6054258,-0.2268839,-0.26137263
-2.6022334,-0.24443449,-0.29007226
-2.5991,-0.2527781,-0.2967734
-2.6035576,-0.24647872,-0.28941366
-2.610272,-0.25754192,-0.3050156
-2.602025,-0.2454228,-0.27859312
-2.6203735,-0.25449643,-0.30387166
-2.6248252,-0.25653124,-0.3035034
-2.6262124,-0.25941423,-0.3051998
-2.6099365,-0.25615454,-0.30206382
-2.611219,-0.2505563,-0.30021453
-2.6069503,-0.24115221,-0.27968347
-2.6039703,-0.21148896,-0.24782251
-2.603393,-0.22076468,-0.26458484
-2.5973237,-0.21230732,-0.26323628
-2.6081007,-0.24125332,-0.28751832
-2.6057556,-0.251266,-0.2937303
-2.602173,-0.23062523,-0.27459383
-2.6101995,-0.24075381,-0.2936766
-2.6116447,-0.24102631,-0.2887884
-2.6012757,-0.24655755,-0.3014968
-2.595286,-0.25501513,-0.30393136
-2.6076016,-0.22666539,-0.26971486
-2.611492,-0.2516058,-0.30136982
-2.6048036,-0.23682187,-0.28224316
-2.6143847,-0.24064049,-0.29228172
-2.604834,-0.23777103,-0.29223943
-2.6117866,-0.23359771,-0.28279144
-2.612014,-0.22800733,-0.2732016
-2.612813,-0.26909694,-0.3188275
